tract_geoid,state_fips,county_geoid,county_name,population,housing_units,land_area_sqmi,intpt_lat,intpt_lon
42101000101,42,42101,"Philadelphia County, PA",4950,2079,0.45,39.9166,-75.1292
42101000102,42,42101,"Philadelphia County, PA",4950,2079,0.45,39.9286,-75.1412
42101000103,42,42101,"Philadelphia County, PA",4950,2079,0.45,39.9406,-75.1532
42101000104,42,42101,"Philadelphia County, PA",4950,2079,0.45,39.9526,-75.1652
42101000105,42,42101,"Philadelphia County, PA",4950,2079,0.45,39.9646,-75.1772
42101000106,42,42101,"Philadelphia County, PA",4950,2079,0.45,39.9766,-75.1892
42101000107,42,42101,"Philadelphia County, PA",4950,2079,0.45,39.9886,-75.2012
42101000108,42,42101,"Philadelphia County, PA",4950,2079,0.45,40.0006,-75.2132
42101000109,42,42101,"Philadelphia County, PA",4950,2079,0.45,39.9046,-75.1172
42101000110,42,42101,"Philadelphia County, PA",4950,2079,0.45,39.9166,-75.1292
42101000111,42,42101,"Philadelphia County, PA",4950,2079,0.45,39.9286,-75.1412
42101000112,42,42101,"Philadelphia County, PA",4950,2079,0.45,39.9406,-75.1532
42101000113,42,42101,"Philadelphia County, PA",4950,2079,0.45,39.9526,-75.1652
42101000114,42,42101,"Philadelphia County, PA",4950,2079,0.45,39.9646,-75.1772
42101000115,42,42101,"Philadelphia County, PA",4950,2079,0.45,39.9766,-75.1892
42101000116,42,42101,"Philadelphia County, PA",4950,2079,0.45,39.9886,-75.2012
42101000117,42,42101,"Philadelphia County, PA",4950,2079,0.45,40.0006,-75.2132
42101000118,42,42101,"Philadelphia County, PA",4950,2079,0.45,39.9046,-75.1172
42091000101,42,42091,"Montgomery County, PA",4400,1848,2.0,40.1745,-75.3345
42091000102,42,42091,"Montgomery County, PA",4400,1848,2.0,40.1865,-75.3465
42091000103,42,42091,"Montgomery County, PA",4400,1848,2.0,40.1985,-75.3585
42091000104,42,42091,"Montgomery County, PA",4400,1848,2.0,40.2105,-75.3705
42091000105,42,42091,"Montgomery County, PA",4400,1848,2.0,40.2225,-75.3825
42091000106,42,42091,"Montgomery County, PA",4400,1848,2.0,40.2345,-75.3945
42091000107,42,42091,"Montgomery County, PA",4400,1848,2.0,40.2465,-75.4065
42091000108,42,42091,"Montgomery County, PA",4400,1848,2.0,40.2585,-75.4185
42091000209,42,42091,"Montgomery County, PA",720,302,6.0,40.1625,-75.3225
42091000210,42,42091,"Montgomery County, PA",720,302,6.0,40.1745,-75.3345
42017000101,42,42017,"Bucks County, PA",4200,1764,3.0,40.3,-75.0697
42017000102,42,42017,"Bucks County, PA",4200,1764,3.0,40.312,-75.0817
42017000103,42,42017,"Bucks County, PA",4200,1764,3.0,40.324,-75.0937
42017000104,42,42017,"Bucks County, PA",4200,1764,3.0,40.336,-75.1057
42017000105,42,42017,"Bucks County, PA",4200,1764,3.0,40.348,-75.1177
42017000106,42,42017,"Bucks County, PA",4200,1764,3.0,40.36,-75.1297
42017000207,42,42017,"Bucks County, PA",720,302,8.0,40.372,-75.1417
42017000208,42,42017,"Bucks County, PA",720,302,8.0,40.384,-75.1537
42017000209,42,42017,"Bucks County, PA",720,302,8.0,40.288,-75.0577
42003000101,42,42003,"Allegheny County, PA",3600,1512,1.5,40.4326,-79.9482
42003000102,42,42003,"Allegheny County, PA",3600,1512,1.5,40.4446,-79.9602
42003000103,42,42003,"Allegheny County, PA",3600,1512,1.5,40.4566,-79.9722
42003000104,42,42003,"Allegheny County, PA",3600,1512,1.5,40.4686,-79.9842
42003000105,42,42003,"Allegheny County, PA",3600,1512,1.5,40.4806,-79.9962
42003000106,42,42003,"Allegheny County, PA",3600,1512,1.5,40.4926,-80.0082
42003000107,42,42003,"Allegheny County, PA",3600,1512,1.5,40.5046,-80.0202
42003000108,42,42003,"Allegheny County, PA",3600,1512,1.5,40.5166,-80.0322
42003000109,42,42003,"Allegheny County, PA",3600,1512,1.5,40.4206,-79.9362
42003000110,42,42003,"Allegheny County, PA",3600,1512,1.5,40.4326,-79.9482
42003000111,42,42003,"Allegheny County, PA",3600,1512,1.5,40.4446,-79.9602
42003000112,42,42003,"Allegheny County, PA",3600,1512,1.5,40.4566,-79.9722
42007000101,42,42007,"Beaver County, PA",2000,840,4.0,40.6464,-80.3133
42007000102,42,42007,"Beaver County, PA",2000,840,4.0,40.6584,-80.3253
42007000103,42,42007,"Beaver County, PA",2000,840,4.0,40.6704,-80.3373
42007000104,42,42007,"Beaver County, PA",2000,840,4.0,40.6824,-80.3493
42007000105,42,42007,"Beaver County, PA",2000,840,4.0,40.6944,-80.3613
42007000206,42,42007,"Beaver County, PA",560,235,7.0,40.7064,-80.3733
42007000207,42,42007,"Beaver County, PA",560,235,7.0,40.7184,-80.3853
42023000101,42,42023,"Cameron County, PA",1500,630,50.0,41.3986,-78.1648
42023000102,42,42023,"Cameron County, PA",1500,630,50.0,41.4106,-78.1768
42023000103,42,42023,"Cameron County, PA",1500,630,50.0,41.4226,-78.1888
42023000204,42,42023,"Cameron County, PA",2400,1008,2.0,41.4346,-78.2008
42053000101,42,42053,"Forest County, PA",1500,630,60.0,41.4746,-79.2003
42053000102,42,42053,"Forest County, PA",1500,630,60.0,41.4866,-79.2123
42053000103,42,42053,"Forest County, PA",1500,630,60.0,41.4986,-79.2243
