tract_geoid,state_fips,county_geoid,county_name,population,housing_units,land_area_sqmi,intpt_lat,intpt_lon
04013000101,04,04013,"Maricopa County, AZ",5500,2310,1.0,33.313,-112.4555
04013000102,04,04013,"Maricopa County, AZ",5500,2310,1.0,33.325,-112.4675
04013000103,04,04013,"Maricopa County, AZ",5500,2310,1.0,33.337,-112.4795
04013000104,04,04013,"Maricopa County, AZ",5500,2310,1.0,33.349,-112.4915
04013000105,04,04013,"Maricopa County, AZ",5500,2310,1.0,33.361,-112.5035
04013000106,04,04013,"Maricopa County, AZ",5500,2310,1.0,33.373,-112.5155
04013000107,04,04013,"Maricopa County, AZ",5500,2310,1.0,33.385,-112.5275
04013000108,04,04013,"Maricopa County, AZ",5500,2310,1.0,33.397,-112.5395
04013000109,04,04013,"Maricopa County, AZ",5500,2310,1.0,33.301,-112.4435
04013000110,04,04013,"Maricopa County, AZ",5500,2310,1.0,33.313,-112.4555
04013000111,04,04013,"Maricopa County, AZ",5500,2310,1.0,33.325,-112.4675
04013000112,04,04013,"Maricopa County, AZ",5500,2310,1.0,33.337,-112.4795
04013000113,04,04013,"Maricopa County, AZ",5500,2310,1.0,33.349,-112.4915
04013000114,04,04013,"Maricopa County, AZ",5500,2310,1.0,33.361,-112.5035
04013000115,04,04013,"Maricopa County, AZ",5500,2310,1.0,33.373,-112.5155
04013000116,04,04013,"Maricopa County, AZ",5500,2310,1.0,33.385,-112.5275
04013000117,04,04013,"Maricopa County, AZ",5500,2310,1.0,33.397,-112.5395
04013000118,04,04013,"Maricopa County, AZ",5500,2310,1.0,33.301,-112.4435
04013000119,04,04013,"Maricopa County, AZ",5500,2310,1.0,33.313,-112.4555
04013000120,04,04013,"Maricopa County, AZ",5500,2310,1.0,33.325,-112.4675
04021000101,04,04021,"Pinal County, AZ",1750,735,5.0,32.8686,-111.3087
04021000102,04,04021,"Pinal County, AZ",1750,735,5.0,32.8806,-111.3207
04021000103,04,04021,"Pinal County, AZ",1750,735,5.0,32.8926,-111.3327
04021000204,04,04021,"Pinal County, AZ",1200,504,30.0,32.9046,-111.3447
04021000205,04,04021,"Pinal County, AZ",1200,504,30.0,32.9166,-111.3567
04021000206,04,04021,"Pinal County, AZ",1200,504,30.0,32.9286,-111.3687
04019000101,04,04019,"Pima County, AZ",1950,819,3.0,32.0612,-111.753
04019000102,04,04019,"Pima County, AZ",1950,819,3.0,32.0732,-111.765
04019000103,04,04019,"Pima County, AZ",1950,819,3.0,32.0852,-111.777
04019000104,04,04019,"Pima County, AZ",1950,819,3.0,32.0972,-111.789
04019000105,04,04019,"Pima County, AZ",1950,819,3.0,32.1092,-111.801
04019000106,04,04019,"Pima County, AZ",1950,819,3.0,32.1212,-111.813
04019000107,04,04019,"Pima County, AZ",1950,819,3.0,32.1332,-111.825
04019000108,04,04019,"Pima County, AZ",1950,819,3.0,32.1452,-111.837
04012000101,04,04012,"La Paz County, AZ",1200,504,80.0,33.6936,-113.9487
04012000102,04,04012,"La Paz County, AZ",1200,504,80.0,33.7056,-113.9607
04012000103,04,04012,"La Paz County, AZ",1200,504,80.0,33.7176,-113.9727
04001000101,04,04001,"Apache County, AZ",1200,504,100.0,35.36,-109.4529
04001000102,04,04001,"Apache County, AZ",1200,504,100.0,35.372,-109.4649
04001000103,04,04001,"Apache County, AZ",1200,504,100.0,35.384,-109.4769
04001000204,04,04001,"Apache County, AZ",2250,945,1.5,35.396,-109.4889
